address,area,price,buildarea
晶远花苑,鱼峰区,2100,110
嘉鹏·学府,城中区,2600,80
东化宿舍,鱼峰区,1250,85
华锡215地质队小区,鱼峰区,2000,80
基隆开发区,柳江,650,45
鹅山路七区,柳南区,800,47
新时代商业港高层公寓,柳南区,1200,50
盛天悦景台锦园,鱼峰区,2799,65
白云小区,鱼峰区,1550,68
融安火车站,融安,700,120
大东星城国际,鱼峰区,2300,119
三棉东小区,鱼峰区,2000,80
经典时代公馆,融安,1500,103
融安火车站,融安,1000,82
融安火车站,融安,600,72
五里桥小区,鱼峰区,350,20
红卫路,融安,1200,108
东御城,融安,1800,88
恒大御府,鱼峰区,3199,110
华融天禾城,融安,1500,35
东方上城,融安,1300,90
长安华府,融安,1200,24
红卫路,融安,900,108
东兴路,融安,1000,80
恒大翡翠龙庭,鱼峰区,3200,110.34
太平西街44号大院,鱼峰区,800,30
瑞景文苑,鱼峰区,2600,87
永前路西四区,柳南区,1100,60
广场北路,融安,1000,120
兴怡园,鱼峰区,2200,80
利民小区,柳南区,1700,78
刀片厂宿舍,柳南区,1200,76
华润凯旋门,鱼峰区,3300,70
航星苑,柳南区,1500,80
山水龙居,柳南区,4000,200
柳邕路,柳南区,700,60
乐群路南一巷50号大院,鱼峰区,600,50
经典时代公馆,融安,400,35
谷埠路大同巷2里,鱼峰区,1500,70
新翔小区(别墅),柳南区,1200,60
供电局宿舍,鱼峰区,2000,85
兆兴园,柳南区,1600,120
融江北路,融安,550,55
海馨嘉园,鱼峰区,700,14
跃进路,柳北区,800,36
地王公馆江景精装房,柳北区,2100,56
盛庭苑,柳北区,1950,106.5
荣和千千树,鱼峰区,3000,110
屏山花苑,鱼峰区,1700,80
欧维姆大院,鱼峰区,2300,95
和兴园,柳北区,1900,70
西江路,鱼峰区,750,25
桔香北路,融安,300,12
华润幸福里,鱼峰区,1980,40
东苑小区(别墅),柳南区,800,30
康华小区,柳南区,1500,90
长虹世纪,鱼峰区,2400,80
恒大城,鱼峰区,2400,120
社湾路,鱼峰区,750,25
红桥路,柳南区,1200,100
半岛中央花园,柳北区,3800,140
雅儒路东四巷,柳北区,1500,90
鹅岗路二区,柳南区,1200,85
宏祥园,柳南区,1500,58
民鑫小区,柳南区,350,12
和谐家园,柳南区,1700,87
银城园,柳南区,1300,53
银山小区,柳南区,3200,170
新民路,融安,450,22
石头桥,柳南区,650,90
图书馆大院,柳北区,500,18
鑫泰小区,柳南区,1300,70
南站路,柳南区,600,18
地委大院,柳北区,2100,75
龙屯路,柳南区,500,35
林业局大院,柳北区,1500,90
跃进路辅路,柳北区,1500,118
地委大院,柳北区,2300,98
兴业苑,柳北区,2000,103
高岭路,柳北区,1300,100
三中路,柳北区,2000,125
三中路凯凌大厦,柳北区,1200,37
桂景湾别墅区,柳北区,1300,50
地王公馆,柳北区,2200,41
磨滩路,柳北区,700,60
三中路,柳北区,450,18
金鑫苑,柳江,1500,120
腾安世纪城金碧苑,柳江,1600,125
腾安世纪城金碧苑,柳江,1400,96
恒大翡翠龙庭,鱼峰区,2400,83
柳南万达华城,柳南区,3200,120
丰泽盛景广场,柳江,1200,80
金都铭城,柳江,600,35
地王公馆,柳北区,7500,188
金鹅福地,柳南区,2300,95
兴怡园,鱼峰区,2300,70
G323(瑞临线),柳江,500,60
祥和路,柳江,850,94
水南华庭,鱼峰区,2300,110
金绿洲,柳南区,800,20
柳堡路683号大院,柳江,850,60
柳东苑,柳江,800,97
龙怀路,柳江,2200,130
拉堡塘福路单间配套（有...,柳江,800,65
基隆综合区工业品市场住宅,柳江,700,50
基隆综合区工业品市场住宅,柳江,400,20
基隆综合区工业品市场住宅,柳江,400,65
宏城绿都,柳南区,2400,130
柳汽二基地住宅,柳江,1200,75
金鑫苑,柳江,1300,120
南二街,柳江,1000,90
康盛花苑,柳江,600,20
G323(瑞临线),柳江,900,110
G323(瑞临线),柳江,2000,350
兴国路,柳江,300,20
康盛花苑,柳江,1499,80
柳堡小苑,柳江,1500,120
汇元大厦,柳江,1200,50
福柳宏都,柳南区,2400,111
恒大雅苑,柳南区,1700,78
新时代商业港高层公寓,柳南区,1200,60.3
佳禾小苑,鱼峰区,1800,85
永前路西四区,柳南区,1000,60
康华小区,柳南区,450,20
柳工颐华城,柳南区,2200,113
柳工生活南区,柳南区,1800,90
刀片厂宿舍,柳南区,1100,80
温馨花园,城中区,750,26
红光小区(二区),柳南区,1550,86
和平路文化区,柳南区,1800,77.14
金御华府,柳南区,900,100
文山路,柳南区,900,110
广电小区,柳南区,1120,74
中房世纪广场,城中区,3500,140
农资局宿舍,柳北区,1500,76
香颂诺丁山,柳南区,1800,75
富丽嘉园,柳南区,2100,122
柳南区,柳南区,1500,108
航星花园,柳南区,2200,150
宏城绿都,柳南区,1200,78
银山小区,柳南区,2200,122
"龙屯,",柳南区,1200,62
文山路,柳南区,1500,30
新时代商业港高层公寓,柳南区,1500,57.5
河西,柳南区,1000,90
锦绣龙城一区,城中区,2000,120.88
金鹅福地,柳南区,1500,50
东苑小区(别墅),柳南区,1500,100
谷埠路59号大院,柳南区,2300,85
潭西小区,柳南区,1800,109
增鑫一区,柳南区,1600,60
柳南万达广场(商住楼),柳南区,1700,55
新时代商业港高层公寓,柳南区,1300,48
川海汇景龙湾,柳南区,2800,137
盛世中华(别墅),柳南区,2500,133
革新路一区,柳南区,1200,100
川海汇景龙湾,柳南区,3000,131
红光小区(二区),柳南区,500,20
航中苑,柳南区,1800,90
西环一区,柳南区,1000,75
柳南万达华城,柳南区,1200,38
南站路三区,柳南区,1100,65
新西环二区,柳南区,1800,98
新时代商业港高层公寓,柳南区,1300,53
荣和千千树,鱼峰区,2000,75
农村信用社宿舍,柳南区,650,40
柳邕路,柳南区,1000,30
华润幸福里,鱼峰区,1500,35
望泰龙城华府,柳南区,1500,48
和平小区,柳南区,2000,128
上游路四区,柳南区,1200,65
南站路三区,柳南区,1000,30
康华小区,柳南区,1000,50
康华小区,柳南区,600,40
箭盘路东一巷,鱼峰区,1450,72
瑞丰国际,柳江,1000,120
柳岸金邸,柳南区,2500,108
金鹅福地,柳南区,1100,30
富华苑,柳南区,2800,172
河西路,柳南区,450,20
柳南万达广场(商住楼),柳南区,2200,66
和平路,柳南区,300,15
雒容镇金鸿福邸小区,鹿寨,1300,113
恒大翡翠龙庭,鱼峰区,2350,78
腾安国际,柳江,500,30
兆安四季花城,柳南区,1600,70
地王公馆,柳北区,1200,25
联发滨江壹号,鱼峰区,800,30
汇江苑,柳南区,3000,100
金鹅福地,柳南区,2600,110
广西电力工程建设有限公...,柳江,430,35
华润凯旋门,鱼峰区,1150,30
龙华居,柳南区,800,40
五菱生活区河西路二区,柳南区,1300,57.9
柳州银行宿舍(柳南区),柳南区,600,25
盛世中华(公寓住宅),柳南区,2800,154.9
望泰龙城华府,柳南区,1250,40
银海小区(北区),柳南区,2000,90
南亚名邸,鱼峰区,1500,40
城柳路,柳南区,500,45
柳东新区会展中心旁边龙...,鹿寨,2400,96
鑫华农贸商住小区(商住...,融安,1900,150
铸造厂生活区,鱼峰区,1300,64
红光新苑,柳南区,1400,71
望泰龙城华府,柳南区,1500,38
红岩路三区,柳南区,1050,68
恒大华府,城中区,3000,125
南站路三区,柳南区,800,25
怡华名都,柳南区,1600,90
红光小区,柳南区,1150,56
柳邕路,柳南区,200,15
广西凤糖雒容制糖有限责...,鹿寨,1300,90
柳东新区官塘翔云锦苑,鹿寨,2100,100
新翔小区(公寓住宅),柳南区,900,60
